bigram,weight
because_customer,1.305647797
build_and,1.305647797
build_in,1.305647797
build_inventory,1.305647797
built_in,1.305647797
built_to,1.305647797
buy_in,1.305647797
buyers_and,1.305647797
by_cost,1.305647797
by_demand,1.305647797
by_rail,1.305647797
by_sea,1.305647797
capacity_are,1.305647797
capacity_but,1.305647797
capacity_by,1.305647797
chain_have,1.305647797
chain_risk,1.305647797
channel_and,1.305647797
china_for,1.305647797
climate_change,1.305647797
commodity_product,1.305647797
company_sales,1.305647797
competition_from,1.305647797
competitors_have,1.305647797
components_with,1.305647797
conditions_the,1.305647797
contracts_the,1.305647797
cost_component,1.305647797
cost_high,1.305647797
cost_increase,1.305647797
cost_plus,1.305647797
costs_across,1.305647797
costs_decrease,1.305647797
costs_more,1.305647797
country_the,1.305647797
current_estimate,1.305647797
current_forecast,1.305647797
customer_but,1.305647797
customers_an,1.305647797
customers_into,1.305647797
customers_more,1.305647797
customers_over,1.305647797
deliver_to,1.305647797
delivered_the,1.305647797
delivering_a,1.305647797
demand_patterns,1.305647797
demand_risk,1.305647797
